                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.3989,                 1.3785,                 1.3114,                0.51787,                0.48744,                0.48657,                0.27736,                 1.4867,                  1.328,                 1.3283,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.3924,                 1.3629,                 1.3134,                0.52636,                 0.4755,                0.48977,                0.27535,                 1.5346,                 1.3389,                   1.35,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3841,                 1.3494,                 1.3016,                0.53348,                0.46315,                0.48212,                0.27346,                 1.4906,                 1.3338,                 1.3326,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3837,                 1.3421,                 1.2763,                0.51354,                0.49074,                0.49066,                0.27833,                 1.4954,                 1.3231,                 1.3236,               0.000416,               0.000416,               0.000416
                     82,                  1.386,                 1.3715,                 1.3137,                0.53691,                0.47731,                0.49374,                0.28074,                 1.4985,                 1.3244,                 1.3297,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3574,                 1.3442,                 1.2716,                0.51491,                0.48725,                0.48887,                0.27856,                 1.4989,                 1.3189,                 1.3263,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.3774,                 1.3385,                 1.2791,                0.51436,                0.49839,                 0.4912,                0.27932,                 1.4878,                  1.325,                 1.3239,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3607,                 1.3496,                 1.2817,                0.53033,                0.46645,                0.48646,                0.27751,                 1.4803,                 1.3225,                 1.3261,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3638,                 1.3332,                 1.2801,                0.52625,                0.47592,                0.49024,                0.27708,                 1.4919,                  1.316,                 1.3168,               0.000317,               0.000317,               0.000317
                     87,                 1.3568,                 1.3219,                 1.2832,                 0.5187,                0.47695,                 0.4909,                0.27874,                 1.4847,                 1.3141,                 1.3195,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3611,                 1.3365,                 1.3113,                0.50792,                 0.4858,                0.49021,                 0.2788,                 1.4775,                  1.316,                 1.3159,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.3466,                 1.3159,                 1.2755,                0.52544,                0.47715,                0.49204,                0.28075,                 1.4696,                 1.3032,                 1.3225,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.3691,                 1.3186,                 1.2875,                 0.5158,                0.49527,                0.49398,                0.27678,                 1.4979,                 1.3132,                 1.3294,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4256,                 1.3587,                  1.332,                0.53268,                0.48195,                0.49588,                0.27971,                 1.4892,                 1.3075,                 1.3187,               0.000218,               0.000218,               0.000218
                     92,                 1.3926,                 1.3154,                 1.3067,                0.53401,                0.48405,                0.49651,                0.28072,                 1.4837,                 1.3001,                 1.3212,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.3871,                 1.3104,                 1.2942,                0.53612,                0.47756,                0.49373,                0.28128,                 1.4841,                 1.3067,                 1.3221,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3893,                 1.3132,                 1.3165,                0.52729,                0.48291,                0.49382,                0.28296,                 1.4788,                 1.2991,                 1.3231,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3659,                 1.2953,                 1.2916,                0.52546,                0.48044,                0.49207,                0.28078,                  1.473,                 1.3028,                 1.3204,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3638,                 1.2797,                 1.2899,                0.52565,                0.48003,                0.49477,                0.28265,                 1.4696,                 1.3019,                 1.3214,               0.000119,               0.000119,               0.000119
                     97,                 1.3845,                 1.3097,                  1.311,                0.51725,                0.48333,                0.49468,                0.28287,                 1.4672,                 1.2974,                 1.3152,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3571,                 1.2778,                 1.2853,                0.52013,                0.48333,                0.49524,                 0.2834,                 1.4699,                 1.2902,                 1.3164,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.3516,                 1.2596,                 1.2683,                0.52113,                0.48925,                0.49698,                0.28251,                 1.4716,                 1.2872,                 1.3182,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3458,                 1.2612,                 1.2787,                0.53524,                0.47839,                0.49814,                0.28259,                 1.4677,                 1.2862,                 1.3188,               3.98e-05,               3.98e-05,               3.98e-05
